"from"	"to"	"Metabolite"
"ENSG00000169710"	"ENSG00000136881"	"m1"
"ENSG00000169710"	"ENSG00000167910"	"m1"
"ENSG00000169710"	"ENSG00000073756"	"m1"
"ENSG00000169710"	"ENSG00000095303"	"m1"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000087076"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000099377"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000100867"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000109854"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000121039"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000138400"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000139988"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000145439"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000159692"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000160439"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000164039"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000167733"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000170426"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000170786"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000176387"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000183921"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000184860"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000186153"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000187134"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000197894"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198074"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198189"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198610"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000204228"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000227471"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000240857"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000134538"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000057252"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000167780"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000087076"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000099377"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000100867"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000109854"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000121039"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000138400"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000139988"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000145439"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000159692"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000160439"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000164039"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000167733"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170426"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170786"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000176387"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000183921"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000184860"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000186153"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000187134"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000197894"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198074"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198189"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198610"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000204228"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000227471"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000240857"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000134538"	"m1000"
